"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000166848",534.371702427223,2.24594494200175,0.259100544911553,8.66823704584809,4.38862326454445e-18,2.29455177729194e-15
"ENSG00000130748",20.7546785181121,5.1647833265449,0.597497681558476,8.64402237189173,5.42679222743738e-18,2.77429678204882e-15
"ENSG00000053371",165.040320916589,3.73930547842736,0.433220607413529,8.63141183599795,6.05992634661271e-18,3.03062186095273e-15
"ENSG00000140564",568.497490605092,3.67887762429644,0.427709647144022,8.60134357235496,7.87882351187386e-18,3.85643265724804e-15
"ENSG00000254614",2407.25947857196,3.68970156430098,0.429257429508345,8.59554502883509,8.28705201294773e-18,3.97174232412213e-15
"ENSG00000151414",795.692596946361,2.65684917260611,0.311762833485193,8.52202022577618,1.56793999758159e-17,7.43720817409578e-15
"ENSG00000108100",994.688389839615,2.51209400134765,0.295256763895547,8.50816749531388,1.76703807208469e-17,8.29606343843028e-15
"ENSG00000140479",1166.39012248477,3.52340472001488,0.415043214128849,8.48924786641868,2.0797871351412e-17,9.56910060878466e-15
"ENSG00000133627",275.201260174604,2.85810754092964,0.337009338412553,8.48079627227085,2.23657940997536e-17,1.01457729419686e-14
"ENSG00000185624",328.498983535608,2.82686476116435,0.333351179117514,8.48014027923332,2.24922590758705e-17,1.01457729419686e-14
"ENSG00000103266",57.8275992649258,4.39926299832083,0.519039590941718,8.47577540345052,2.33518887938819e-17,1.04312660524904e-14
"ENSG00000140941",3710.21823810911,2.3543967347532,0.278098681087663,8.46604782714179,2.53859959375762e-17,1.11597828456621e-14
"ENSG00000174574",387.811103169971,2.3055990304332,0.272346824525388,8.46567252785527,2.54678808692571e-17,1.11597828456621e-14
"ENSG00000130958",172.052398948769,2.36169992757305,0.280010793567452,8.4343174685662,3.33141261847971e-17,1.44602164694577e-14
"ENSG00000086232",5179.18346663385,3.12146523641525,0.370185018594056,8.43217601909018,3.39296116453614e-17,1.45897330075054e-14
"ENSG00000140859",395.188235371467,3.44513009348639,0.409340292234722,8.41629851456424,3.88566417703376e-17,1.6553648961604e-14
"ENSG00000060558",207.584953626654,3.6609611651386,0.436082955138674,8.39510263356756,4.65487460677616e-17,1.964869547319e-14
"ENSG00000125898",494.554054031161,3.17090670881283,0.378210511105649,8.38397298780273,5.11705408966532e-17,2.14032416968638e-14
"ENSG00000160999",63.3037198338798,4.76272792092414,0.568158166111346,8.38275009496343,5.17051781592616e-17,2.14320292532219e-14
"ENSG00000120742",755.7783743237,2.101444209912,0.250742205686172,8.3808954466252,5.25265442098163e-17,2.15780919561933e-14
"ENSG00000260032",6721.7487179358,2.81397476170561,0.33676584317738,8.3558793705318,6.49470531919031e-17,2.62124027838549e-14
"ENSG00000165716",123.635319485124,4.9607248354211,0.594835091980865,8.3396640552953,7.45018881880491e-17,2.98072337002795e-14
"ENSG00000099804",50.7245413036201,4.28674727905419,0.514651201916737,8.32942245755742,8.12376858116921e-17,3.22219476223789e-14
"ENSG00000176973",64.5165590537408,3.55162253260492,0.426634494956126,8.32474301678339,8.45118824840039e-17,3.3234117205889e-14
"ENSG00000064961",442.748115336762,3.71895046705932,0.447614006049088,8.30838717466646,9.70115540288548e-17,3.78262847531153e-14
"ENSG00000269556",303.457933472518,3.07502245023618,0.371308488663386,8.28158403085656,1.21547518156115e-16,4.66033442530237e-14
