Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR1982659	SRR1982659.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8884830.0	0.0	100.0	41.0	24.014944055256926	100.0	pass	fail	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR1982660	SRR1982660.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13628393.0	0.0	100.0	44.0	28.793508109659076	100.0	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
SRR1982661	SRR1982661.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24530486.0	0.0	101.0	43.0	32.38487913584057	101.0	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
SRR1982662	SRR1982662.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25421000.0	0.0	101.0	44.0	21.269117297700426	101.0	pass	pass	pass	pass	pass	warn	pass	pass	fail	warn	pass
SRR1982663	SRR1982663.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10566530.0	0.0	100.0	42.0	26.83574713198914	100.0	pass	fail	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR1982664	SRR1982664.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26210402.0	0.0	101.0	43.0	21.168919279545158	101.0	pass	pass	pass	pass	pass	warn	pass	pass	fail	warn	pass
SRR1982665	SRR1982665.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21254993.0	0.0	101.0	44.0	73.86990283043154	101.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass
SRR1982696	SRR1982696.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23679951.0	0.0	101.0	39.0	52.9390133853081	101.0	pass	fail	pass	pass	warn	pass	pass	pass	warn	fail	pass
SRR1982697	SRR1982697.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31776032.0	0.0	100.0	39.0	84.45095033390132	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
SRR1982698	SRR1982698.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18565457.0	0.0	100.0	40.0	86.20414834965983	100.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
SRR1982699	SRR1982699.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23246062.0	0.0	101.0	40.0	85.56971796759866	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
